occasion,relationship,gender,ageType,ageGroup,knownDuration,kidDislikes,kidToyTypes,personality,experiencePreference,handmadePreference,budgetFlexibility,stylePreference,surpriseReaction,connectionImportance,noteImportance,handmadeOverStore,sharedMemoriesAppreciation,relationshipCloseness,uniqueGiftValue,practicalOverSentimental,budget,gift_type
Holiday,Colleague/Professional,Male,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,6000–7000 PKR,Edible Stuff
Anniversary,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,5,5,3,3,5,6000–8000 PKR,Wallet
Thank you gift,Friend,Male,Kid,Less than a year,Unknown,Other,Other,3,3,3,3,3,3,3,3,3,3,3,3,3,More than 7500 PKR,Toys
Thank you gift,"Close Family(Parent, Sibling, Child)",Male,Kid,1–3,Unknown,Noisy Toys,Building Toys (e.g. LEGO)|Dolls,3,3,3,3,3,3,3,3,3,3,3,3,3,3500 PKR,Toys
Birthday,Friend,Female,Kid,6–9,Unknown,Messy Crafts|Electronic Gadgets,Dolls|Building Toys (e.g. LEGO),1,3,3,3,3,3,4,5,5,3,3,3,3,5000–6000 PKR,Edible Stuff
Birthday,Friend,Female,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,4,4,3,4,3,3,3,3,3,5000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,More than 35 years,5+ year,Unknown,Unknown,4,4,4,4,2,4,4,5,5,4,4,4,4,"8000–10,000 PKR",Clothing
Other,"Close Family(Parent, Sibling, Child)",Female,Kid,Less than a year,Unknown,Other,Other,3,3,3,3,3,3,3,3,3,3,3,3,3,More than 5000 PKR,Accessories
Other,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Jewellery
Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,1–3 year,Unknown,Unknown,5,5,5,5,5,5,5,5,5,5,5,5,5,3000–4000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,1,5,5,5,5,4,5,1,5,4,5,5,1,"10,000–12,000 PKR",Perfume
Thank you gift,Spouse,Female,Adult,16–20,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"5000–10,000 PKR",Bag/Wallet
Graduation,Other,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,3,5,3,5,5,5,4,3,3,5,3,3,"20,000–25,000 PKR",Bag/Wallet
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,5,4,4,5,4,2,4,4,4,4,4,3,3,5000–8000 PKR,Clothing
Thank you gift,Friend,Male,Adult,25–35,Less than a year,Unknown,Unknown,5,4,4,5,4,2,4,4,4,4,4,3,3,3000–5000 PKR,Wallet
Graduation,Other,Male,Adult,20–25,1–3 year,Unknown,Unknown,5,4,4,5,4,2,4,4,4,4,4,3,3,3000–5000 PKR,Wallet
Get well soon,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,1–3 year,Unknown,Unknown,5,4,4,5,4,2,4,4,4,4,4,3,3,2000–3000 PKR,Jewellery
Holiday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,Less than a year,Unknown,Unknown,5,4,4,5,4,2,4,4,4,4,4,3,3,1000 PKR,Edible Stuff
Birthday|Anniversary,Friend,Female,Adult,25–35,5+ year,Unknown,Unknown,4,3,4,3,4,4,4,3,3,3,4,3,3,5000–8000 PKR,Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,16–20,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,Less than a year,Unknown,Unknown,5,2,4,1,2,5,4,4,5,4,5,3,4,1000 PKR,Edible Stuff
Thank you gift,Other,Male,Adult,16–20,Less than a year,Unknown,Unknown,5,2,4,1,2,5,4,4,5,4,5,3,4,5000 PKR,Perfume
Other,Spouse,Female,Adult,20–25,Less than a year,Unknown,Unknown,5,2,4,1,2,5,4,4,5,4,5,3,4,1000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,9–12,Unknown,Other,Tech/ Games|Outdoor/ Sports,5,2,4,1,2,5,4,4,5,4,5,3,4,3500 PKR,Toys
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,1–3 year,Unknown,Unknown,2,2,4,3,4,4,3,3,3,4,2,3,2,"12,000–15,000 PKR",Perfume
Anniversary,"Close Family(Parent, Sibling, Child)",Male,Adult,16–20,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Perfume
Birthday,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,5,5,5,5,5,5,5,5,5,5,5,3,6000–8000 PKR,Wallet
Other,Other,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–5000 PKR,Wallet
Holiday,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,4,4,4,4,4,5,2,4,2,2,4,4,2,5000–7000 PKR,Perfume
