occasion,relationship,gender,ageType,ageGroup,knownDuration,kidDislikes,kidToyTypes,personality,experiencePreference,handmadePreference,budgetFlexibility,stylePreference,surpriseReaction,connectionImportance,noteImportance,handmadeOverStore,sharedMemoriesAppreciation,relationshipCloseness,uniqueGiftValue,practicalOverSentimental,budget,gift_type
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,16–20,5+ year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,"5000–10,000 PKR",Shoes
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,16–20,5+ year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,3000–4000 PKR,Edible Stuff
Graduation,Colleague/Professional,Female,Adult,20–25,3–5 year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,"10,000–15,000 PKR",Clothing
Birthday,Spouse,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–15,000 PKR",Clothing
Birthday,Spouse,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–7000 PKR,Perfume
Anniversary,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–15,000 PKR",Shoes
Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Other|Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,1–3 year,Unknown,Unknown,3,2,5,4,3,5,4,5,5,5,4,4,5,3000–5000 PKR,Bag/Wallet
Get well soon,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,2,5,4,3,5,4,5,5,5,4,4,5,1000–2000 PKR,Edible Stuff
Get well soon,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,2,5,4,3,5,4,5,5,5,4,4,5,5000 PKR,Perfume
Get well soon,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,2,5,4,3,5,4,5,5,5,4,4,5,2000–3000 PKR,Jewellery
Wedding/Engagement gift,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,20–25,5+ year,Unknown,Unknown,3,2,5,4,3,5,4,5,5,5,4,4,5,5000–8000 PKR,Clothing
Wedding/Engagement gift,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,20–25,5+ year,Unknown,Unknown,3,2,5,4,3,5,4,5,5,5,4,4,5,3000–5000 PKR,Bag/Wallet
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,5,2,5,4,5,1,5,4,4,4,1,2,5,4000–5000 PKR,Jewellery
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,3,1,1,1,1,1,5,4,5,5,3,5,5000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,3,1,1,1,1,1,5,4,5,5,3,5,5000–8000 PKR,Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,5,5,5,5,5,5,5,5,5,5,5,5,More than 5000 PKR,Jewellery
Birthday,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Perfume
Get well soon,Colleague/Professional,Male,Adult,25–35,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–12,000 PKR",Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,16–20,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,2000–3000 PKR,Jewellery
Anniversary,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,1000 PKR,Edible Stuff
Wedding/Engagement gift,Colleague/Professional,Male,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,5,3,3,5,3,3,3,5,6000–7000 PKR,Edible Stuff
Get well soon,Spouse,Female,Adult,20–25,1–3 year,Unknown,Unknown,2,2,5,4,3,5,5,5,4,4,4,3,4,4000–5000 PKR,Jewellery
Get well soon,Spouse,Female,Adult,20–25,1–3 year,Unknown,Unknown,2,2,5,4,3,5,5,5,4,4,4,3,4,5000–8000 PKR,Clothing
Get well soon,Other,Female,Adult,16–20,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Makeup Products
Wedding/Engagement gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,More than 35 years,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"12,000–15,000 PKR",Perfume
Graduation,"Close Family(Parent, Sibling, Child)",Male,Adult,16–20,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Holiday,Spouse,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–6000 PKR,Wallet
Get well soon,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–15,000 PKR",Makeup Products
Thank you gift,Spouse,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"20,000–25,000 PKR",Shoes
Anniversary,Spouse,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–15,000 PKR",Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,1–3,Unknown,Stuffed Animals,Other,3,3,3,3,3,3,3,3,3,3,4,3,3,3500 PKR,Toys
Thank you gift,Friend,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–4000 PKR,Jewellery
Anniversary|Birthday|Holiday|Get well soon,Colleague/Professional,Male,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"5000–10,000 PKR",Shoes
Birthday,Other,Male,Kid,6–9,Unknown,Noisy Toys,Outdoor/ Sports,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Anniversary,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Jewellery
Wedding/Engagement gift,Colleague/Professional,Male,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"12,000–15,000 PKR",Perfume
Birthday|Graduation,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,1,3,3,3,3,3,3,"5000–10,000 PKR",Shoes
Other,Colleague/Professional,Female,Adult,20–25,3–5 year,Unknown,Unknown,2,5,5,5,5,1,3,5,1,5,1,2,1,2000–3000 PKR,Jewellery
Other,Colleague/Professional,Female,Adult,20–25,3–5 year,Unknown,Unknown,2,5,5,5,5,1,3,5,1,5,1,2,1,5000 PKR,Perfume
Other,Colleague/Professional,Female,Adult,20–25,3–5 year,Unknown,Unknown,2,5,5,5,5,1,3,5,1,5,1,2,1,3000–4000 PKR,Edible Stuff
Other,Colleague/Professional,Female,Adult,20–25,3–5 year,Unknown,Unknown,2,5,5,5,5,1,3,5,1,5,1,2,1,"10,000–15,000 PKR",Makeup Products
Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Kid,1–3,Unknown,Noisy Toys,Tech/ Games,5,4,1,1,5,5,5,5,5,5,2,5,2,2500–3000 PKR,Perfume
Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Kid,1–3,Unknown,Noisy Toys,Tech/ Games,5,4,1,1,5,5,5,5,5,5,2,5,2,3000–4000 PKR,Accessories
Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Kid,1–3,Unknown,Noisy Toys,Tech/ Games,5,4,1,1,5,5,5,5,5,5,2,5,2,5500 – 7500 PKR,Toys
Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Kid,1–3,Unknown,Noisy Toys,Tech/ Games,5,4,1,1,5,5,5,5,5,5,2,5,2,3000–4000 PKR,Edible Stuff
Wedding/Engagement gift,Friend,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–15,000 PKR",Makeup Products
Get well soon,"Close Family(Parent, Sibling, Child)",Male,Adult,More than 35 years,5+ year,Unknown,Unknown,5,5,5,3,3,3,5,3,3,3,3,3,3,3000–5000 PKR,Wallet
Birthday,Spouse,Female,Adult,20–25,5+ year,Unknown,Unknown,5,3,3,5,3,5,5,5,3,5,5,5,3,4000–5000 PKR,Jewellery
Birthday,Friend,Female,Kid,9–12,Unknown,Labubu Dolls,Arts & Crafts,3,3,3,3,3,3,3,3,3,3,3,3,3,1000–1500 PKR,Perfume
Birthday,Friend,Female,Kid,9–12,Unknown,Labubu Dolls,Arts & Crafts,3,3,3,3,3,3,3,3,3,3,3,3,3,3500 PKR,Toys
Birthday,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"20,000–25,000 PKR",Shoes
Birthday,Friend,Male,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Shoes
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,16–20,Unknown,Noisy Toys,Dolls|Outdoor/ Sports,5,1,4,3,3,3,5,5,3,3,3,3,3,3500 PKR,Toys
Birthday,Spouse,Female,Adult,20–25,5+ year,Unknown,Unknown,5,2,2,4,4,2,2,4,1,2,5,4,2,4000–5000 PKR,Jewellery
Birthday,Other,Male,Adult,16–20,5+ year,Unknown,Unknown,5,5,5,5,5,5,5,5,5,5,5,5,5,5000 PKR,Clothing
Wedding/Engagement gift,Spouse,Female,Adult,20–25,Less than a year,Unknown,Unknown,2,3,3,3,3,3,5,5,5,3,3,3,3,More than 5000 PKR,Jewellery
Birthday,Other,Male,Adult,20–25,3–5 year,Unknown,Unknown,4,3,4,4,3,5,5,5,4,4,5,5,2,6000–8000 PKR,Wallet
Other,Other,Male,Adult,20–25,5+ year,Unknown,Unknown,4,3,4,4,3,5,5,5,4,4,5,5,2,"7000–10,000 PKR",Perfume
Birthday|Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,16–20,3–5 year,Unknown,Unknown,3,3,3,2,3,3,3,1,3,4,3,2,3,"7000–10,000 PKR",Perfume
Birthday,Friend,Male,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,3,5,5,5,5,5,5,5,5,5000–7000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,12–15,Unknown,Electronic Gadgets|Other,Arts & Crafts|Tech/ Games|Outdoor/ Sports|Other,3,2,2,2,3,4,4,3,4,4,5,3,2,1000–2000 PKR,Accessories
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,12–15,Unknown,Electronic Gadgets|Other,Arts & Crafts|Tech/ Games|Outdoor/ Sports|Other,3,2,2,2,3,4,4,3,4,4,5,3,2,1000–2000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–7000 PKR,Perfume
Birthday,Friend,Female,Kid,Less than a year,Unknown,Other,Dolls,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–4000 PKR,Accessories
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,16–20,3–5 year,Unknown,Unknown,5,2,5,3,2,4,4,5,5,5,5,5,2,More than 5000 PKR,Jewellery
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,16–20,5+ year,Unknown,Unknown,3,3,5,3,3,3,5,3,3,3,5,3,3,"5000–10,000 PKR",Bag/Wallet
Anniversary,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,5,3,3,3,5,3,3,3,5,3,3,"7000–10,000 PKR",Perfume
Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,3,5,3,3,3,5,3,3,3,5,3,3,"8000–10,000 PKR",Clothing
Anniversary,"Close Family(Parent, Sibling, Child)",Female,Adult,More than 35 years,5+ year,Unknown,Unknown,3,3,5,3,3,3,5,3,3,3,5,3,3,"10,000–15,000 PKR",Clothing
Birthday,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,5,3,3,3,5,3,3,3,5,3,3,"7000–10,000 PKR",Perfume
Birthday,Colleague/Professional,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–7000 PKR,Perfume
Other,Colleague/Professional,Male,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,4,4,4,4,4,4,4,4,4,4,4,4,5000–7000 PKR,Perfume
Thank you gift,Other,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"8000–10,000 PKR",Clothing
Get well soon,Colleague/Professional,Male,Adult,25–35,3–5 year,Unknown,Unknown,3,5,3,3,3,3,3,5,3,3,3,3,3,"12,000–15,000 PKR",Perfume
Birthday,Other,Female,Kid,1–3,Unknown,Other|Animated Cartoons,Dolls,3,3,3,3,3,3,3,3,3,3,3,3,3,3500 – 5500 PKR,Toys
Birthday,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,1000–2000 PKR,Edible Stuff
Graduation|Birthday|Anniversary|Holiday|Thank you gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,1–3 year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,5000–7000 PKR,Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,16–20,5+ year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,1000 PKR,Edible Stuff
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,25–35,Less than a year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,"5000–10,000 PKR",Bag/Wallet
Wedding/Engagement gift,Friend,Male,Adult,More than 35 years,Less than a year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,"8000–10,000 PKR",Clothing
Get well soon,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,1–3 year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,5000–6000 PKR,Wallet
Thank you gift,Friend,Male,Adult,25–35,Less than a year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,5000–7000 PKR,Perfume
Other,Colleague/Professional,Male,Adult,20–25,Less than a year,Unknown,Unknown,4,5,4,5,4,4,5,5,5,5,5,5,4,3000–4000 PKR,Edible Stuff
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,3,3,4,4,1,5,5,5,4,5,5,5,1000–2000 PKR,Jewellery
Birthday,Friend,Female,Adult,16–20,1–3 year,Unknown,Unknown,5,5,5,5,5,5,5,5,5,5,1,5,5,5000–8000 PKR,Clothing
Wedding/Engagement gift,Colleague/Professional,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,5,3,3,3,3,5,3,3,3,3,4000–5000 PKR,Jewellery
Wedding/Engagement gift,Other,Female,Adult,16–20,1–3 year,Unknown,Unknown,3,5,3,3,3,3,3,3,5,5,3,3,3,3000–4000 PKR,Jewellery
Graduation,Friend,Female,Adult,25–35,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,7000–8000 PKR,Makeup Products
Wedding/Engagement gift,Spouse,Male,Adult,20–25,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Holiday|Other,Friend,Male,Kid,3–6,Unknown,Messy Crafts|Stuffed Animals|Electronic Gadgets|Labubu Dolls,Dolls|Building Toys (e.g. LEGO)|Tech/ Games,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–4000 PKR,Edible Stuff
Holiday|Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–6000 PKR,Edible Stuff
Holiday|Graduation,"Extended Family (Aunt, Uncle, Cousin)",Male,Kid,3–6,Unknown,Messy Crafts,Dolls|Building Toys (e.g. LEGO),3,3,3,3,3,3,3,3,3,3,3,3,3,3500 – 5500 PKR,Toys
Graduation,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,"12,000–15,000 PKR",Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,"12,000–15,000 PKR",Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,"12,000–15,000 PKR",Perfume
Holiday,Spouse,Male,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,"12,000–15,000 PKR",Perfume
Get well soon,Friend,Female,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,"12,000–15,000 PKR",Perfume
Get well soon,Friend,Female,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,"12,000–15,000 PKR",Perfume
Get well soon,Friend,Female,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,More than 5000 PKR,Jewellery
Get well soon,Friend,Female,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,More than 5000 PKR,Jewellery
Thank you gift,Spouse,Male,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,More than 5000 PKR,Jewellery
Thank you gift,Spouse,Male,Adult,25–35,5+ year,Unknown,Unknown,5,5,5,5,5,3,5,5,5,5,3,5,5,More than 5000 PKR,Jewellery
Graduation,Friend,Male,Adult,20–25,3–5 year,Unknown,Unknown,4,3,4,5,5,4,2,4,4,2,5,4,4,"7000–10,000 PKR",Perfume
Wedding/Engagement gift,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,20–25,5+ year,Unknown,Unknown,4,3,4,5,5,4,2,4,4,2,5,4,4,"10,000–15,000 PKR",Bag/Wallet
Birthday,Friend,Male,Adult,16–20,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,000–15,000 PKR",Clothing
Holiday,Other,Male,Adult,25–35,3–5 year,Unknown,Unknown,3,3,4,3,3,3,3,3,4,3,3,3,3,"12,000–15,000 PKR",Perfume
Thank you gift,Friend,Male,Adult,More than 35 years,3–5 year,Unknown,Unknown,3,3,3,3,3,3,5,5,5,3,3,3,3,"10,000–15,000 PKR",Clothing
Wedding/Engagement gift,Spouse,Female,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"5000–10,000 PKR",Shoes
Graduation,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,5,3,3,5,5,5,3,3,5,3,6000–7000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,5+ year,Unknown,Unknown,4,2,2,4,3,4,3,1,1,2,5,5,4,5000 PKR,Perfume
Graduation,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,5,5,4,4,4,5,5,3,5,5,5,4,4,"7000–10,000 PKR",Perfume
Birthday|Anniversary|Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,Less than a year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,"12,000–15,000 PKR",Perfume
Birthday|Anniversary|Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,Less than a year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,More than 5000 PKR,Jewellery
Birthday|Anniversary|Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,Less than a year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,"15,000–20,000 PKR",Clothing
Birthday|Anniversary|Wedding/Engagement gift,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,Less than a year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,"8000–10,000 PKR",Wallet
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,16–20,5+ year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,3000–4000 PKR,Jewellery
Thank you gift,Friend,Female,Adult,20–25,3–5 year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,"12,000–15,000 PKR",Perfume
Get well soon,Other,Male,Adult,More than 35 years,5+ year,Unknown,Unknown,1,3,5,3,4,5,5,3,3,3,5,3,5,"20,000–25,000 PKR",Shoes
Get well soon,Colleague/Professional,Male,Adult,More than 35 years,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Get well soon,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,5,3,3,3,3,3,3,5000–6000 PKR,Edible Stuff
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,5,5,3,3,5,"15,000–20,000 PKR",Shoes
Graduation,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,1–3 year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,5000 PKR,Perfume
Graduation,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,1–3 year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,1000–2000 PKR,Edible Stuff
Graduation,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,1–3 year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,"10,000–15,000 PKR",Shoes
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,25–35,5+ year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,"15,000–20,000 PKR",Clothing
Wedding/Engagement gift,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,20–25,5+ year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,"20,000–25,000 PKR",Bag/Wallet
Other,Spouse,Male,Adult,25–35,3–5 year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,4000–5000 PKR,Edible Stuff
Other,Spouse,Male,Adult,25–35,3–5 year,Unknown,Unknown,2,3,3,3,3,4,5,4,2,3,5,3,3,More than 5000 PKR,Jewellery
Birthday,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,5,3,3,5000 PKR,Clothing
Birthday,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,5,3,3,1000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,5,3,3,5000–6000 PKR,Wallet
Holiday,Colleague/Professional,Female,Adult,More than 35 years,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,5,3,3,5000 PKR,Perfume
Holiday|Get well soon,"Close Family(Parent, Sibling, Child)",Male,Kid,6–9,Unknown,Animated Cartoons,Building Toys (e.g. LEGO),3,3,3,3,3,3,3,3,3,3,5,3,3,3500 PKR,Toys
Other,"Extended Family (Aunt, Uncle, Cousin)",Female,Kid,12–15,3–5 year,Labubu Dolls,Dolls,3,3,3,3,3,3,3,3,3,3,5,3,3,3500 PKR,Toys
Get well soon,Other,Male,Kid,3–6,Unknown,Noisy Toys,Other,3,3,3,3,3,3,3,3,3,3,3,3,3,4000–5000 PKR,Edible Stuff
Birthday,Other,Female,Adult,20–25,5+ year,Unknown,Unknown,2,3,4,3,4,4,5,4,3,3,5,4,4,5000 PKR,Perfume
Birthday,Friend,Male,Adult,20–25,1–3 year,Unknown,Unknown,3,2,5,3,1,2,4,4,3,3,4,3,3,5000 PKR,Perfume
Birthday|Anniversary|Graduation|Wedding/Engagement gift|Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,4000–5000 PKR,Jewellery
Birthday|Anniversary|Graduation|Wedding/Engagement gift|Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,4000–5000 PKR,Jewellery
Birthday|Anniversary|Holiday|Wedding/Engagement gift|Thank you gift,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,5000 PKR,Perfume
Birthday|Anniversary|Holiday|Wedding/Engagement gift|Thank you gift,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,5000 PKR,Clothing
Birthday|Anniversary|Holiday|Graduation|Wedding/Engagement gift|Thank you gift,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,"5000–10,000 PKR",Shoes
Birthday|Anniversary|Holiday|Graduation|Wedding/Engagement gift|Thank you gift,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,5000 PKR,Clothing
Birthday|Wedding/Engagement gift|Thank you gift,Spouse,Male,Adult,More than 35 years,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,5000 PKR,Perfume
Birthday|Wedding/Engagement gift|Thank you gift,Spouse,Male,Adult,More than 35 years,5+ year,Unknown,Unknown,4,2,4,4,4,5,4,5,4,5,5,4,5,5000–6000 PKR,Wallet
Birthday|Holiday|Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Kid,3–6,Unknown,Labubu Dolls,Dolls,4,2,4,4,4,5,4,5,4,5,5,4,5,3500 PKR,Toys
Birthday|Holiday|Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Kid,3–6,Unknown,Labubu Dolls,Dolls,4,2,4,4,4,5,4,5,4,5,5,4,5,3500 PKR,Toys
