gender,age_group,age_type,relationship,occasion,gift_type,price,color,product_style,gift_item_style,container_type,size,scent,personality_score
female,25–35,adult,"close family(parent, sibling, child)",birthday,jewellery,More than 5000 PKR,Gold,Earrings,Handmade & Crafted,basket with net,,,3.0
male,6–9,kid,"extended family (aunt, uncle, cousin)",thank you gift,edible stuff,5000–6000 PKR,,,,acrylic box,,,3.0
male,More than 35 years,adult,colleague/professional,thank you gift,clothing,"10,000–15,000 PKR",White,,Funny & Lighthearted,simple box,,,3.0
male,20–25,adult,friend,birthday,wallet,3000–5000 PKR,Black,Card wallets,Quirky & Unique,acrylic box,,,4.769230769230769
male,20–25,adult,friend,birthday,perfume,5000 PKR,,,Quirky & Unique,acrylic box,,Floral,4.769230769230769
female,20–25,adult,spouse,anniversary,perfume,"10,000–12,000 PKR",,,Quirky & Unique,acrylic box,,Sweet,3.0
female,20–25,adult,spouse,anniversary,bag/wallet,3000–5000 PKR,Black,Mini wallets,Quirky & Unique,acrylic box,,,3.0
male,20–25,adult,friend,graduation,edible stuff,6000–7000 PKR,,,Funny & Lighthearted,acrylic box,,,3.0
male,20–25,adult,"extended family (aunt, uncle, cousin)",thank you gift,edible stuff,3000–4000 PKR,,,Funny & Lighthearted,acrylic box,,,3.0
female,16–20,adult,friend,get well soon,makeup products,7000–8000 PKR,,,Funny & Lighthearted,acrylic box,,,3.0
female,16–20,adult,friend,get well soon,shoes,"5000–10,000 PKR",Blue,Slippers,Quirky & Unique,acrylic box,37,,3.0
female,16–20,adult,friend,get well soon,bag/wallet,3000–5000 PKR,Red,Tote bags,Funny & Lighthearted,acrylic box,,,3.0
female,20–25,adult,spouse,other,perfume,5000 PKR,,,Handmade & Crafted,basket with net,,Sweet,3.923076923076923
female,20–25,adult,other,birthday,perfume,"7000–10,000 PKR",,,Quirky & Unique,acrylic box,,Floral,3.0
female,20–25,adult,other,birthday,clothing,"15,000–20,000 PKR",Black,Frock,Quirky & Unique,acrylic box,M,,3.0
female,20–25,adult,other,holiday,shoes,"5000–10,000 PKR",Blue,Heels,Funny & Lighthearted,acrylic box,37,,3.0
female,20–25,adult,friend,get well soon,edible stuff,3000–4000 PKR,,,Handmade & Crafted,acrylic box,,,3.0
female,20–25,adult,other,other,bag/wallet,3000–5000 PKR,Black,Mini wallets,Handmade & Crafted,acrylic box,,,3.0
female,20–25,adult,other,thank you gift,perfume,"7000–10,000 PKR",,,Quirky & Unique,acrylic box,,Floral,3.0
female,20–25,adult,"extended family (aunt, uncle, cousin)",graduation,bag/wallet,"10,000–15,000 PKR",Black,Handbags,Quirky & Unique,acrylic box,,,3.0
female,20–25,adult,"close family(parent, sibling, child)",anniversary,jewellery,4000–5000 PKR,Gold,Pendant,Quirky & Unique,acrylic box,,,3.0
male,16–20,adult,"close family(parent, sibling, child)",other,wallet,6000–8000 PKR,Camel brown,Travelling wallets,Funny & Lighthearted,acrylic box,,,3.0
